TrackID,Frame,T,X,Y,Movie
2,1,1,359.3722222222222,181.13333333333333,mid_1
36,1,1,543.2671755725191,355.50763358778624,mid_1
25,1,1,390.6491935483871,471.2741935483871,mid_1
26,1,1,569.3607305936073,461.7716894977169,mid_1
29,1,1,90.52261306532664,580.6306532663317,mid_1
27,1,1,112.78886310904872,565.9211136890951,mid_1
28,1,1,500.9114927344782,462.64729194187584,mid_1
14,1,1,384.5100806451613,429.383064516129,mid_1
42,1,1,345.53084415584414,426.75487012987014,mid_1
15,1,1,436.1845018450185,423.13653136531366,mid_1
47,1,1,444.69854132901133,371.26904376012965,mid_1
45,1,1,381.795,373.7,mid_1
46,1,1,116.26244343891403,376.9819004524887,mid_1
44,1,1,280.53452115812917,378.9554565701559,mid_1
43,1,1,389.73023255813956,400.5232558139535,mid_1
41,1,1,527.9314586994727,421.03690685413005,mid_1
48,1,1,536.3123209169055,316.4240687679083,mid_1
54,1,1,505.08583690987126,319.50643776824035,mid_1
7,1,1,377.22352941176473,223.6235294117647,mid_1
9,1,1,153.20261437908496,242.30065359477123,mid_1
6,1,1,144.43295019157088,219.86590038314176,mid_1
55,1,1,302.73312883435585,112.86196319018404,mid_1
3,1,1,326.78175895765474,193.57654723127035,mid_1
0,1,1,235.1816091954023,144.00919540229884,mid_1
4,1,1,245.69302325581396,208.2813953488372,mid_1
56,1,1,350.7168674698795,180.90963855421685,mid_1
35,1,1,405.8705882352941,357.7,mid_1
38,1,1,254.24672897196263,356.3757009345794,mid_1
39,1,1,508.33505154639175,355.87886597938143,mid_1
37,1,1,130.0817120622568,343.3424124513619,mid_1
50,1,1,381.74146341463415,332.2227642276423,mid_1
34,1,1,348.6898496240602,364.00375939849624,mid_1
33,1,1,212.67540322580646,362.8407258064516,mid_1
32,1,1,305.1278065630397,373.98791018998276,mid_1
23,1,1,263.2616179001721,309.407917383821,mid_1
51,1,1,163.72566371681415,323.83185840707966,mid_1
30,1,1,288.94202898550725,321.1217391304348,mid_1
22,1,1,320.2003853564547,301.4354527938343,mid_1
31,1,1,196.67472118959108,320.13197026022306,mid_1
18,2,2,116.47430830039525,271.8893280632411,mid_1
12,2,2,485.1566666666667,261.18333333333334,mid_1
57,2,2,53.23006134969325,589.4509202453987,mid_1
58,2,2,474.1044776119403,399.9492537313433,mid_1
29,2,2,89.87206266318537,580.8093994778068,mid_1
27,2,2,113.63270142180095,566.7464454976304,mid_1
19,2,2,216.0222222222222,288.8909090909091,mid_1
24,2,2,288.4517766497462,271.9162436548223,mid_1
17,2,2,191.70226537216828,276.5177993527508,mid_1
28,2,2,503.1501272264631,462.9211195928753,mid_1
26,2,2,569.8133802816901,463.0669014084507,mid_1
11,2,2,309.6536697247706,258.2224770642202,mid_1
41,2,2,527.8998144712431,421.7031539888683,mid_1
15,2,2,436.4600760456274,423.1254752851711,mid_1
42,2,2,347.70052539404554,429.61295971978984,mid_1
14,2,2,383.40763052208837,430.281124497992,mid_1
59,2,2,357.1794871794872,444.6307692307692,mid_1
51,2,2,162.08,323.84,mid_1
